timestamp,name,location,access
2015-11-25T04:15:00-05:00,"The Vice President meets with President Borut Pahor of the Republic of Slovenia.","Westin Zagreb","Pool Spray at the Top"
2015-11-25T04:40:00-05:00,"The Vice President holds a bilateral meeting with European Council President Donald Tusk","Westin Zagreb","Pool Spray at the Top"
2015-11-25T06:00:00-05:00,"The Vice President meets with Prime Minister Zoran MilanoviÄ of Croatia","Banski Dvori","Pool Spray at the Top"
2015-11-25T06:50:00-05:00,"The Vice President takes an official family photo with leaders","Ceremonial Hall of the Predsjednicki Dvori","Open Press"
2015-11-25T07:00:00-05:00,"The Vice President meets with President Kolinda Grabar-KitaroviÄ of Croatia","Predsjednicki Dvori","Pool Spray at the Top"
2015-11-25T08:45:00-05:00,"The Vice President attends the plenary session of the Brdo-Brijuni Presidential Process","Ceremonial Hall of the Predsjednicki Dvori","Closed Press"
2015-11-25T10:00:00-05:00,"The President receives the Presidential Daily Briefing","Oval Office","Closed Press"
2015-11-25T10:55:00-05:00,"The President meets with his national security team","Oval Office","Closed Press"
2015-11-25T11:15:00-05:00,"The Vice President delivers a joint summit statement with President Grabar-KitaroviÄ of Croatia, President Pahor of Slovenia and European Council President Tusk","Ceremonial Hall of the Predsjednicki Dvori","Open Press"
2015-11-25T11:40:00-05:00,"President Obama delivers a statement","Roosevelt Room","Pooled Press"
2015-11-25T12:15:00-05:00,"The Vice President meets with staff and families of the U.S. Embassy Zagreb","Westin Zagreb","Closed Press"
2015-11-25T13:40:00-05:00,"The Vice President and Dr. Biden depart Zagreb, Croatia for Rome Italy",,
2015-11-25T14:45:00-05:00,"The President pardons the National Thanksgiving Turkey","Rose Garden","Open Press"
2015-11-25T16:40:00-05:00,"The First Family participates in a service event","Washington, DC area","Travel Pool Coverage"
2015-11-24T10:15:00-05:00,"The President holds a bilateral meeting with President Francois Hollande of France; the Vice President also participates","Oval Office","Pool Spray at the Top"
2015-11-24T11:30:00-05:00,"The President holds a joint press conference with President Francois Hollande of France; the Vice President also attends","East Room","Open Press"
2015-11-24T17:00:00-05:00,"The President awards the Presidential Medal of Freedom; the First Lady also attends","East Room","Open Press"
2015-11-23T00:00:00-05:00,"The President arrives at Joint Base Andrews","Joint Base Andrews","Travel Pool Coverage"
2015-11-23T00:15:00-05:00,"The President arrives at the White House","South Lawn","Open Press"
2015-11-23T10:45:00-05:00,"The Vice President participates in a discussion with the ambassadors representing the counter-ISIL Coalition","State Department","Closed Press"
2015-11-22T01:00:00-05:00,"The President holds a bilateral meeting with Prime Minister Lee Hsien Loong of the Republic of Singapore","Kuala Lumpur Convention Centre, Kuala Lumpur, Malaysia","Pool Spray at the Bottom"
2015-11-22T02:25:00-05:00,"The President holds a press conference","Kuala Lumpur City Centre, Kuala Lumpur, Malaysia","Open Press"
2015-11-22T04:00:00-05:00,"The President departs Malaysia","Subang Airbase, Kuala Lumpur, Malaysia","Open to pre-credentialed media"
2015-11-22T10:20:00-05:00,"The President arrives in Yokota, Japan and Air Force One refuels","Yokota Air Base, Yokota, Japan","Travel Pool Coverage"
2015-11-22T12:20:00-05:00,"The President departs Japan","Yokota Air Base, Yokota, Japan","Travel Pool Coverage"
2015-11-22T18:40:00-05:00,"The President arrives in Anchorage, Alaska and Air Force One refuels","Elmendorf Air Base, Anchorage, Alaska","Travel Pool Coverage"
2015-11-22T20:40:00-05:00,"The President departs Alaska en route Washington, DC","Elmendorf Air Base, Anchorage, Alaska","Travel Pool Coverage"
2015-11-21T00:15:00-05:00,"The President participates in a civil society roundtable","Ritz Carlton, Kuala Lumpur, Malaysia","Pool Spray at the Top"
2015-11-21T04:45:00-05:00,"The President participates in a US-ASEAN meeting","Kuala Lumpur City Centre, Kuala Lumpur, Malaysia","Travel Pool Coverage"
2015-11-21T06:35:00-05:00,"The President participates in a pull aside with Prime Minister Thongsing Thammavong of the Lao Peopleâs Democratic Republic","Kuala Lumpur City Centre, Kuala Lumpur, Malaysia","Pool Spray at the Top"
2015-11-21T07:20:00-05:00,"The President participates in a welcome and family photo","Kuala Lumpur City Centre, Kuala Lumpur, Malaysia","Travel Pool Coverage"
2015-11-21T07:30:00-05:00,"The President attends a EAS gala dinner","Kuala Lumpur City Centre, Kuala Lumpur, Malaysia","Travel Pool Coverage"
2015-11-21T21:20:00-05:00,"The President meets with Embassy personnel and families","Ritz Carlton, Kuala Lumpur, Malaysia","Closed Press"
2015-11-21T22:00:00-05:00,"The President participates in an EAS family photo","Kuala Lumpur Convention Centre, Kuala Lumpur, Malaysia","Travel Pool Coverage"
2015-11-21T22:10:00-05:00,"The President participates in an EAS Summit meeting","Kuala Lumpur Convention Centre, Kuala Lumpur, Malaysia","Pool Spray at the Top"
2015-11-20T00:15:00-05:00,"The President participates in a civil society roundtable","Ritz Carlton, Kuala Lumpur, Malaysia","Pool Spray at the Top"
2015-11-20T02:30:00-05:00,"The President arrives in Malaysia","Subang Airbase, Kuala Lumpur, Malaysia","Open to pre-credentialed media"
2015-11-20T03:10:00-05:00,"The President holds a YSEALI town hall","Taylorâs University, Kuala Lumpur, Malaysia","Open to pre-credentialed media"
2015-11-20T04:45:00-05:00,"The President participates in a US- ASEAN meeting","Kuala Lumpur City Centre, Kuala Lumpur, Malaysia","Travel Pool Coverage"
2015-11-20T06:35:00-05:00,"The President participates in a pull aside with Prime Minister Thongsing Thammavong of the Lao Peopleâs Democratic Republic","Kuala Lumpur City Centre, Kuala Lumpur, Malaysia","Pool Spray at the Top"
2015-11-20T07:20:00-05:00,"The President participates in a welcome and family photo","Kuala Lumpur City Centre, Kuala Lumpur, Malaysia","Travel Pool Coverage"
2015-11-20T07:30:00-05:00,"The President attends a EAS gala dinner","Kuala Lumpur City Centre, Kuala Lumpur, Malaysia","Travel Pool Coverage"
2015-11-20T21:25:00-05:00,"The President delivers remarks at the ASEAN Business and Investment Summit","Shangri-La Hotel, Kuala Lumpur, Malaysia","Open to pre-credentialed media"
2015-11-20T22:25:00-05:00,"The President tours the Dignity for Children Foundation","Dignity for Children Foundation, Kuala Lumpur, Malaysia","Travel Pool Coverage"
2015-11-19T00:10:00-05:00,"The President participates in a bilateral meeting with Prime Minister Justin Trudeau","Philippine International Convention Center, Manila, Philippines","Travel Pool Spray"
2015-11-19T01:00:00-05:00,"The President participates in the second APEC retreat session","Philippine International Convention Center, Manila, Philippines","Closed Press"
2015-11-19T03:30:00-05:00,"The President participates in the APEC closing session","Philippine International Convention Center, Manila, Philippines","Closed Press"
2015-11-19T04:45:00-05:00,"The President participates in a bilateral meeting with Prime Minister Shinzo Abe of Japan","Philippine International Convention Center, Manila, Philippines","Travel Pool Spray"
2015-11-19T05:50:00-05:00,"The President holds a bilateral meeting with Prime Minister Najib Razak of Malaysia","Kuala Lumpur Convention Centre, Kuala Lumpur, Malaysia","Pool Spray at the Bottom"
2015-11-19T11:30:00-05:00,"The Vice President meets with General Raheel Sharif, Chief of Army Staff of the Pakistan Army","The Roosevelt Room","Closed Press"
2015-11-19T13:20:00-05:00,"The Vice President will deliver remarks at the Aspen Institute Summit on Inequality and Opportunity","Newseum in Washington D.C","Open Press"
2015-11-19T22:25:00-05:00,"The President meets with Embassy personnel and families","Sofitel Philippine Plaza Manila, Manila, Philippines","Closed Press"
2015-11-19T23:15:00-05:00,"The President departs the Philippines","Ninoy Aquino International Airport, Manila, Philippines","Open to pre-credentialed media"
2015-11-18T03:15:00-05:00,"The President participates in a Pacific Alliance meeting","Philippine International Convention Center, Manila, Philippines","Closed Press"
2015-11-18T06:35:00-05:00,"The President participates in an Asia Pacific Economic Cooperation Summit (APEC) family photo","Mall of Asia Arena, Manila, Philippines","Travel Pool Coverage"
2015-11-18T06:45:00-05:00,"The President attends an APEC welcome dinner and cultural performance","Mall of Asia Arena, Manila, Philippines","Travel Pool Coverage"
2015-11-18T21:00:00-05:00,"The President participates in an APEC family photo","Philippine International Convention Center, Manila, Philippines","Travel Pool Coverage"
2015-11-18T21:30:00-05:00,"The President participates in the opening session of the APEC retreat","Philippine International Convention Center, Manila, Philippines","Travel Pool Spray"
2015-11-17T01:30:00-05:00,"The President tours the BRP Gregorio del Pilar","Manila Harbor, Manila, Philippines","Closed Press"
2015-11-17T01:45:00-05:00,"The President delivers a statement","Manila Harbor, Manila, Philippines","Travel Pool Coverage"
